ID,Овог нэр,Мэргэжил,Төрсөн өдөр,Танилцуулга,BirthYear
16,Colin Farrell,Жүжигчин,1945-11-21 00:00:00,,1945
32,Penélope Cruz,Жүжигчин,1991-01-30 00:00:00,,1991
33,Emile Hirsch,Жүжигчин,1983-03-15 00:00:00,,1983
36,Robert De Niro,Жүжигчин,1943-08-17 00:00:00,,1943
37,Monica Bellucci,Жүжигчин,1968-12-19 00:00:00,,1968
42,Sophia Loren,Жүжигчин,1968-07-30 00:00:00,,1968
47,Michela Quattrociocche,Жүжигчин,1996-09-01 00:00:00,,1996
48,Michelle Carpente,Жүжигчин,1945-09-02 00:00:00,,1945
49,Giuseppe Tornatore,Найруулагч,1986-01-10 00:00:00,,1986
50,Giuseppe Sulfaro,Жүжигчин,1953-04-18 00:00:00,,1953
51,Luciano Federico,Жүжигчин,1946-03-20 00:00:00,,1946
54,Francesco Apolloni,Жүжигчин,1974-09-30 00:00:00,,1974
55,Emanuele Crialese,Найруулагч,2004-05-23 00:00:00,,2004
56,Filippo Pucillo,Жүжигчин,1988-07-23 00:00:00,,1988
57,Donatella Finocchiaro,Жүжигчин,1990-03-27 00:00:00,,1990
58,Beppe Fiorello,Жүжигчин,1987-05-10 00:00:00,,1987
59,Roberto Benigni,Найруулагч,1991-11-18 00:00:00,,1991
60,Jean Reno,Жүжигчин,1973-11-15 00:00:00,,1973
61,Nicoletta Braschi,Жүжигчин,1948-06-15 00:00:00,,1948
62,Andre Ovredal,Найруулагч,1995-06-04 00:00:00,,1995
63,Otto Jespersen,Жүжигчин,1969-09-22 00:00:00,,1969
64,Robert Stoltenberg,Жүжигчин,1973-01-08 00:00:00,,1973
65,Knut Naerum,Жүжигчин,1964-06-21 00:00:00,,1964
66,Tommy Wirkola,Найруулагч,1952-01-18 00:00:00,,1952
67,Jeppe Beck Laursen,Жүжигчин,2001-03-02 00:00:00,,2001
68,Charlotte Frogner,Жүжигчин,1991-08-02 00:00:00,,1991
69,Jenny Skavlan,Жүжигчин,1982-06-30 00:00:00,,1982
70,Павел Чухрай,Найруулагч,1966-07-24 00:00:00,,1966
71,Владимир Машков,Жүжигчин,1994-04-21 00:00:00,,1994
72,Екатерина Редникова,Жүжигчин,1975-12-31 00:00:00,,1975
73,Михаил Филипчук,Жүжигчин,1969-04-07 00:00:00,,1969
74,Nikolay Lebedev,Найруулагч,1969-09-24 00:00:00,,1969
75,Danila Kozlovsky,Жүжигчин,1954-12-31 00:00:00,,1954
76,Darya Ekamasova,Жүжигчин,1946-01-30 00:00:00,,1946
77,Oleg Menshikov,Жүжигчин,1976-08-08 00:00:00,,1976
78,Сарик Андреасян,Найруулагч,1998-08-08 00:00:00,,1998
79,Владимир Зеленский,Жүжигчин,1944-03-18 00:00:00,,1944
80,Светлана Ходченкова,Жүжигчин,1996-08-24 00:00:00,,1996
81,Евгений Абызов,Найруулагч,1994-08-16 00:00:00,,1994
82,Александр Ревва,Жүжигчин,1958-04-07 00:00:00,,1958
83,Кристина Асмус,Жүжигчин,1981-09-09 00:00:00,,1981
84,Дмитрий Хрусталев,Жүжигчин,1950-11-27 00:00:00,,1950
85,Марюс Вайсберг,Найруулагч,1990-01-13 00:00:00,,1990
86,Вера Брежнева,Жүжигчин,1986-03-27 00:00:00,,1986
87,Алексей Чадов,Жүжигчин,1963-05-26 00:00:00,,1963
88,Fedor Bondarchuk,Найруулагч,1944-06-25 00:00:00,,1944
89,Artur Smolyaninov,Жүжигчин,2004-01-25 00:00:00,,2004
