actor_name,actor_id,birth_date,profession
Colin Farrell,1,11/21/1945 0:00,Жүжигчин
Penélope Cruz,2,1/30/1991 0:00,Жүжигчин
Emile Hirsch,3,3/15/1983 0:00,Жүжигчин
Robert De Niro,4,8/17/1943 0:00,Жүжигчин
Monica Bellucci,5,12/19/1968 0:00,Жүжигчин
Sophia Loren,6,7/30/1968 0:00,Жүжигчин
Michela Quattrociocche,7,9/1/1996 0:00,Жүжигчин
Michelle Carpente,8,9/2/1945 0:00,Жүжигчин
Giuseppe Tornatore,9,1/10/1986 0:00,Найруулагч
Giuseppe Sulfaro,10,4/18/1953 0:00,Жүжигчин
Luciano Federico,11,3/20/1946 0:00,Жүжигчин
Francesco Apolloni,12,9/30/1974 0:00,Жүжигчин
Emanuele Crialese,13,5/23/2004 0:00,Найруулагч
Filippo Pucillo,14,7/23/1988 0:00,Жүжигчин
Donatella Finocchiaro,15,3/27/1990 0:00,Жүжигчин
Beppe Fiorello,16,5/10/1987 0:00,Жүжигчин
Roberto Benigni,17,11/18/1991 0:00,Найруулагч
Jean Reno,18,11/15/1973 0:00,Жүжигчин
Nicoletta Braschi,19,6/15/1948 0:00,Жүжигчин
Andre Ovredal,20,6/4/1995 0:00,Найруулагч
Otto Jespersen,21,9/22/1969 0:00,Жүжигчин
Robert Stoltenberg,22,1/8/1973 0:00,Жүжигчин
Knut Naerum,23,6/21/1964 0:00,Жүжигчин
Tommy Wirkola,24,1/18/1952 0:00,Найруулагч
Jeppe Beck Laursen,25,3/2/2001 0:00,Жүжигчин
Charlotte Frogner,26,8/2/1991 0:00,Жүжигчин
Jenny Skavlan,27,6/30/1982 0:00,Жүжигчин
Павел Чухрай,28,7/24/1966 0:00,Найруулагч
Владимир Машков,29,4/21/1994 0:00,Жүжигчин
Екатерина Редникова,30,12/31/1975 0:00,Жүжигчин
Михаил Филипчук,31,4/7/1969 0:00,Жүжигчин
Nikolay Lebedev,32,9/24/1969 0:00,Найруулагч
Danila Kozlovsky,33,12/31/1954 0:00,Жүжигчин
Darya Ekamasova,34,1/30/1946 0:00,Жүжигчин
Oleg Menshikov,35,8/8/1976 0:00,Жүжигчин
Сарик Андреасян,36,8/8/1998 0:00,Найруулагч
Владимир Зеленский,37,3/18/1944 0:00,Жүжигчин
Светлана Ходченкова,38,8/24/1996 0:00,Жүжигчин
Евгений Абызов,39,8/16/1994 0:00,Найруулагч
Александр Ревва,40,4/7/1958 0:00,Жүжигчин
Кристина Асмус,41,9/9/1981 0:00,Жүжигчин
Дмитрий Хрусталев,42,11/27/1950 0:00,Жүжигчин
Марюс Вайсберг,43,1/13/1990 0:00,Найруулагч
Вера Брежнева,44,3/27/1986 0:00,Жүжигчин
Алексей Чадов,45,5/26/1963 0:00,Жүжигчин
Fedor Bondarchuk,46,6/25/1944 0:00,Найруулагч
Artur Smolyaninov,47,1/25/2004 0:00,Жүжигчин
Aleksey Chadov,48,6/1/1969 0:00,Жүжигчин
Konstantin Kryukov,49,12/12/1998 0:00,Жүжигчин
Andrei Kavun,50,9/28/1984 0:00,Найруулагч
Aleksandr Baluev,51,5/17/1991 0:00,Жүжигчин
Yury Belyayev,52,2/25/1990 0:00,Жүжигчин
Bogdan Benyuk,53,11/5/1952 0:00,Жүжигчин
Тимур Бекмамбетов,54,1/7/1964 0:00,Найруулагч
Сергей Светлаков,55,10/21/1970 0:00,Жүжигчин
Артур Смольянинов,56,11/8/1972 0:00,Жүжигчин
Сергей Безруков,57,11/21/1942 0:00,Жүжигчин
Алексей Петренко,58,1/28/1976 0:00,Жүжигчин
Вера Сторозева,59,3/8/1950 0:00,Найруулагч
Артур Смолянинов,60,1/23/1989 0:00,Жүжигчин
Анна Старшенбаум,61,1/30/1985 0:00,Жүжигчин
Сергей Пускепалис,62,11/20/2000 0:00,Жүжигчин
Константин Хабенский,63,2/25/1989 0:00,Жүжигчин
Мария Порошина,64,3/13/1964 0:00,Жүжигчин
Владимир Меньшов,65,11/9/2003 0:00,Найруулагч
Валерий Золотухин,66,2/12/1967 0:00,Жүжигчин
Сергей Эйзенштейн,67,7/3/1961 0:00,Найруулагч
Александр Антонов,68,10/7/1999 0:00,Жүжигчин
Владимир Барский,69,6/13/1964 0:00,Жүжигчин
Григорий Александров,70,1/14/1945 0:00,Жүжигчин
Павел Пархоменко,71,12/28/1970 0:00,Найруулагч
Ярослав Жалнин,72,7/7/1992 0:00,Жүжигчин
Михаил Филиппов,73,7/3/1952 0:00,Жүжигчин
Владимир Стеклов,74,7/22/1970 0:00,Жүжигчин
Гор Киракосян,75,7/29/1948 0:00,Найруулагч
Михаил Галустян,76,4/22/1985 0:00,Жүжигчин
Иван Стебунов,77,5/25/1971 0:00,Жүжигчин
Ингрид Олеринская,78,10/17/1961 0:00,Жүжигчин
Владимир Яглыч,79,12/23/1954 0:00,Жүжигчин
Карен Шахназаров,80,4/4/1977 0:00,Найруулагч
Алексей Вертков,81,3/17/1984 0:00,Жүжигчин
Виталий Кищенко,82,1/22/2002 0:00,Жүжигчин
Валерий Гришко,83,11/7/1968 0:00,Жүжигчин
Dong-won Kim,84,8/9/1950 0:00,Найруулагч
Rain,85,12/16/1994 0:00,Жүжигчин
Joon-sang Yoo,86,7/25/1981 0:00,Жүжигчин
Seong-su Kim,87,3/21/1986 0:00,Жүжигчин
Jae-young Kwak,88,6/1/1946 0:00,Найруулагч
Gianna Jun,89,8/13/1960 0:00,Жүжигчин
Jin-hie Han,90,9/5/1990 0:00,Жүжигчин
Kyoo-tae Kim,91,12/6/1994 0:00,Найруулагч
Yun-ho Yang,92,9/21/1968 0:00,Найруулагч
Byung-hun Lee,93,7/12/1970 0:00,Жүжигчин
Seung Hyun Choi,94,2/11/1993 0:00,Жүжигчин
Tae-hee Kim,95,7/21/1995 0:00,Жүжигчин
Hun Jang,96,7/28/1965 0:00,Найруулагч
Ha-kyun Shin,97,4/11/1999 0:00,Жүжигчин
Go Soo,98,1/11/1959 0:00,Жүжигчин
Seung-su Ryu,99,10/24/1955 0:00,Жүжигчин
Je-kyu Kang,100,1/16/1985 0:00,Найруулагч
Dong-gun Jang,101,1/10/1982 0:00,Жүжигчин
Jo Odagiri,102,3/23/1949 0:00,Жүжигчин
Bingbing Fan,103,12/17/1994 0:00,Жүжигчин
Neil Jones,104,3/12/1953 0:00,Найруулагч
Francisco Lopez Aparicio,105,2/14/1993 0:00,Жүжигчин
Timothy Bourne,106,6/26/1940 0:00,Жүжигчин
Victoria Broom,107,8/4/1992 0:00,Жүжигчин
Ji-hoon Kim,108,12/9/1991 0:00,Найруулагч
Mina Cho,109,7/4/1991 0:00,Жүжигчин
Sang-kyung Kim,110,11/18/1983 0:00,Жүжигчин
Sul Kyung-gu,111,2/15/1971 0:00,Жүжигчин
Byun Sung-hyun,112,7/17/1986 0:00,Найруулагч
Kim Ah-joong,113,4/16/1958 0:00,Жүжигчин
Ji Sung,114,7/13/1991 0:00,Жүжигчин
Kim Jin-Young,115,9/2/1976 0:00,Найруулагч
Park Ha-Sun,116,4/16/1970 0:00,Жүжигчин
Yoon Sang-Huyn,117,5/15/1973 0:00,Жүжигчин
Park Cheol-Min,118,7/15/1977 0:00,Жүжигчин
Sung-Hee Jo,119,6/17/1942 0:00,Найруулагч
Young-nam Jang,120,3/24/1949 0:00,Жүжигчин
Hyang-ki Kim,121,3/14/1956 0:00,Жүжигчин
Bo-yeong Park,122,7/23/1947 0:00,Жүжигчин
Ik-ro Kim,123,1/5/1969 0:00,Найруулагч
Hie-bong Jo,124,2/12/1984 0:00,Жүжигчин
Seong-ha Jo,125,3/12/1983 0:00,Жүжигчин
Hyo-rin Min,126,2/3/1971 0:00,Жүжигчин
Shin Tae-ra,127,6/8/1996 0:00,Найруулагч
Kang Ji-hwan,128,4/22/1977 0:00,Жүжигчин
Sung Yu-ri,129,3/24/1945 0:00,Жүжигчин
Eun-jin Pang,130,6/28/1990 0:00,Найруулагч
Seung-beom Ryu,131,12/3/1977 0:00,Жүжигчин
Yo-won Lee,132,11/22/1981 0:00,Жүжигчин
Jin-woong Jo,133,4/25/1977 0:00,Жүжигчин
Kwon Ho-Jung,134,7/15/1976 0:00,Найруулагч
Kim Beom,135,12/23/1945 0:00,Жүжигчин
Esom,136,11/27/1976 0:00,Жүжигчин
Seo Hyun-Chul,137,6/18/1992 0:00,Жүжигчин
Han-min Kim,138,1/23/1960 0:00,Найруулагч
Hae-il Park,139,10/15/1979 0:00,Жүжигчин
Seung-yong Ryoo,140,1/12/1942 0:00,Жүжигчин
Mu-Yeol Kim,141,12/8/1962 0:00,Жүжигчин
Sang Hoon Ang,142,10/27/1968 0:00,Найруулагч
Ha Neul Kim,143,11/10/2004 0:00,Жүжигчин
Seung Ho Yoo,144,2/28/1954 0:00,Жүжигчин
Hie bong Jo,145,4/2/1958 0:00,Жүжигчин
Dong hyuk Hwang,146,12/18/1966 0:00,Найруулагч
Gong Yoo,147,7/8/2005 0:00,Жүжигчин
Yu mi Jeong,148,4/28/1996 0:00,Жүжигчин
Hyeon soo Kim,149,4/16/1942 0:00,Жүжигчин
Seung wan Ryoo,150,6/10/1955 0:00,Найруулагч
Jung woo Ha,151,3/26/1994 0:00,Жүжигчин
Suk kyu Han,152,11/6/1943 0:00,Жүжигчин
Seung beom Ryu,153,6/22/1996 0:00,Жүжигчин
