movie_id,title,release_year,runtime_minutes,rating,director_name,company_name
129,Дурлалын гэмт хэрэг,2013,105,5.3,П.Дэлгэрбаяр,Лоожикфильм (Logicfilm) Л Ви Эй интертайнмент
198,Татар ажиллагаа,2010,90,7.1,Б.Баатар,Номадс фильмс энд интертайнмент
199,Би чамд хайртай 2,2009,109,5.2,Б.Баатар,Б продакшн
200,Франц үнсэлт,2011,105,7.3,Г.Анхбаяр,Анхаа
201,Уулын хөх сүүдэр,2000,92,6.3,Б.Бадрууган,Твинс фильмс студи (Twins Film)
202,Тэхийн зогсоол,2006,75,6.8,,Твинс фильмс студи (Twins Film)
203,Ээжээ,2011,101,6.3,Д.Нинжбадгар,HD production
204,Мөрөөдлийн зүгт,2009,94,3,Б.Туул,DX production
205,Найз,2012,90,7.1,Б.Болдбаатар,Лайн экшн продакшн
206,Амьдрал төсөл,2011,90,7,П.Дэлгэрбаяр,Л Ви Эй интертайнмент
207,Орхидос,2009,87,6.7,Б.Ганболд,Хамба фильм Хаанаас үзэх вэ?
208,Орхидос 2,2010,99,6.3,Б.Ганболд,Хамба фильм Хаанаас үзэх вэ?
209,Валентины захидал,2012,7,3,Д.Баярсайхан,ТАКТ ХХК
210,Үл таних эмэгтэй,2011,108,6.9,Н.Наранбаатар,Н.Наранбаатар
211,Учиртай гурав,2011,87,6.7,Д.Золбаяр,Монгол контент
213,Намрын синдром,2010,97,6.6,Д.Галбаяр,Коктайл фильмс
214,Мөнгөний гахай,2011,93,6.6,Д.Энхбаяр,Коктайл фильмс
215,Сайн уу амьдрал минь,2008,124,6.9,З.Батболд,Коктайл фильмс
216,Хархны өгөөш,2010,93,6.9,Г.Дарханбаяр,Твинс фильмс студи (Twins Film)
217,Тэнгэрийн андгай,2006,78,6.3,Б.Ганболд,[]
218,Ми-15,2010,89,6.5,С.Нэргүй,Soyombo
219,Дурлалын ангууч,2008,88,6.3,Д.Энхбаатар,Soyombo
220,Сайн Муу Хэрцгий,2011,87,6.8,А.Миеэгомбо,[]
221,Гэрч,2010,87,6.3,О.Батзориг,[]
222,Худгийн мисс,2011,76,6.5,Ж.Биндэр,[]
223,Хүний наймаа,2008,75,6.5,Ж.Биндэр,[]
225,Үүлэн чөлөөний нар,2002,108,6.3,Ж.Биндэр,[]
226,Хайр харуусал,2011,92,5,Л.Энхбаяр,[]
227,Миний ахын эхнэр,2012,86,6.8,Д.Ханьсаг,Нэшнл фильм (National film)
228,Дурсамж төгсгөл үгүй,2011,98,5.5,Б.Батсайхан,[]
229,Ээжийн дайсан,2012,95,6.3,Л.Лхагважаргал,[]
230,Цэлмэг тэнгэр,2011,91,7,Ж.Ганбат,Лоожикфильм (Logicfilm)
231,Төрийн дайсан,2009,94,6.9,П.Дэлгэрбаяр,[]
232,Хайртай бол хартай,2012,90,6.2,,TS студи
233,Элсний нүүдэл,2007,87,7.2,Ц.Балдорж,[]
234,Элсний нүүдэл 2,2008,88,7.3,Ц.Балдорж,Си Эй Си пикчерс
235,Шүрэн бугуйвч,2008,99,5.2,Д.Амар,Си Эй Си пикчерс
236,Миний хөрш чөтгөр,2009,87,7.3,,[]
237,Помогите нам 2,2010,104,6.7,Ш.Даваадорж,Заяа'Ш студи
238,Рашаантын 18,2011,96,6.9,Ш.Даваадорж,Заяа'Ш студи
239,Помогите нам: 23-р хурдан галт тэрэг,2010,87,7.1,Ш.Даваадорж,Ханьсаг
240,Помогите нам 3,2012,92,3.3,Ш.Даваадорж,Заяа'Ш студи
241,Худалч залуу,2012,86,6.8,С.Баттулга,[]
242,Тавилан,1999,80,6.9,Л.Энхбаярийн,Л.Энхбаяр
243,Аз ойрхон,2010,90,6.3,Б.Батболд,B.A.T
244,Жексон амьд,2012,90,1,С.Баттулга,Herub энтертайнмент
245,Гоёлын даашинз,2009,120,6.8,З.Батболд,Биг лайн фильм
246,Цасан охин,2010,99,6.5,З.Батболд,Биг лайн фильм
248,Big Fish - Цэвэрлэгээ,2012,103,6.3,Б.Батболд,B.A.T
249,Аравт,2012,91,6.8,Д.Золбаяр,Нүүдэл соёл (ӨМӨЗО) Монгол фильм групп Хаанаас үзэх вэ?
256,Боолын гэрээ,2008,114,6.3,З.Батболд,Биг лайн фильм Комеди арт
257,Буруу эргэлт,2009,93,6.9,Н.Ариунболд,Шинэ үе продакшн
258,2 хоёрын 5,2012,102,6.7,,Шинэ үе продакшн
259,Үлгэрийн хайр,2010,99,6.4,,Шинэ үе продакшн
260,Уулын төмөр,2004,106,7,О.Бат-Өлзий,Заяа'Ш студи
261,Ноён солиот,2002,96,6.9,О.Бат-Өлзий,Заяа'Ш студи
262,Хайрыг хайрла,2007,85,6.9,О.Бат-Өлзий,Заяа'Ш студи
263,Зүрхэнд шивнэсэн үг,2001,98,7,О.Бат-Өлзий,Заяа'Ш студи
264,9009,2009,91,6.3,Б.Баяржаргал,Next star production
265,Сая долларын олз,2011,93,6.8,Ц.Хүсэлбаатар,Хүсэлбаатар
266,Амьдрах тасалбар,2010,100,6.3,Ш.Доржсүрэн,[]
267,Болсон явдал,2011,97,6.3,И.Одончимэг,Х-ТҮЦ продакшн
268,Бодлын хулгайч,2011,90,4.3,Ж.Сэнгэдорж,Висдом фильм продакшн Хаанаас үзэх вэ?
269,Маск,2012,105,6.7,,Имажинешн фильм
270,Ах дүүс,2010,100,3.4,А.Төгсбаяр,Имажинешн фильм
271,Нэг хоёрын гурав аа,2011,127,6.2,Д.Цогт,Wizard production
273,Ийм нэгэн дурлал,2006,89,7.2,С.Баттулга,Зэт Эм Эн
274,Ийм нэгэн дурлал 2,2008,87,7,С.Баттулга,Зэт Эм Эн
275,Миний муу аав,2010,107,6.6,Ц.Ганбат,Зэт Эм Эн
276,Надтай гэрлээч,2007,86,6.8,С.Баттулга,Зэт Эм Эн
277,Зөрлөг,2008,95,6.7,Ч.Ганзориг,Зэт Эм Эн
