ID,Movie Name,Type,Genres,Release Year,Age Range,Runtime,Kinosan Rating,Найруулагч,Зохиолч,Жүжигчид,Продакшн,runtime_minutes,Runtime_filled
129,Дурлалын гэмт хэрэг,Кино,,2013,13+,1ц 45м,5.3,П.Дэлгэрбаяр,П.Дэлгэрбаяр,П.Дэлгэрбаяр Д.Лхагва Г.Ариунболор О.Долгор Х.Баяраа А.Баттүшиг Н.Ялалт,Лоожикфильм (Logicfilm) Л Ви Эй интертайнмент,105,1ц 45м
198,Татар ажиллагаа,Кино,,2010,13+,1ц 30м,7.1,Б.Баатар,Р.Мөнхсайхан,Б.Баатар Б.Амархүү Д.Батсүх Г.Эрдэнэбилэг Э.Батхүү Р.Мөнхсайхан Ч.Ундрал,Номадс фильмс энд интертайнмент,90,1ц 30м
199,Би чамд хайртай 2,Кино,,2009,13+,1ц 49м,5.2,Б.Баатар,Б.Батрэгзэдмаа,Б.Баатар Г.Эрдэнэбилэг Д.Болд Ч.Ундрал Ц.Жамьянсүрэн Б.Батрэгзэдмаа Н.Бадрал С.Пүрэвмаа Б.Дамчаа А.Өнөржаргал З.Жарантив Ц.Батхуяг А.Очирбат,Б продакшн,109,1ц 49м
200,Франц үнсэлт,Кино,,2011,ЭЭХ,1ц 45м,7.3,Г.Анхбаяр,,Г.Анхбаяр Г.Анхмаа Т.Билэгжаргал Р.Адъяа,Анхаа,105,1ц 45м
201,Уулын хөх сүүдэр,Кино,,2000,13+,1ц 32м,6.3,Б.Бадрууган,,Б.Бадрууган Ж.Амарзаяа С.Золбоот Ж.Сүххуяг Б.Амарсайхан А.Мөнгөнзул,Твинс фильмс студи (Twins Film),92,1ц 32м
202,Тэхийн зогсоол,Кино,,2006,13+,1ц 15м,6.8,,,Э.Цэрэндорж Б.Лхагвасүрэн,Твинс фильмс студи (Twins Film),75,1ц 15м
203,Ээжээ,Кино,,2011,ЭЭХ,1ц 41м,6.3,Д.Нинжбадгар,,Д.Нинжбадгар Н.Бадрал Э.Баяржаргал М.Анхбаяр Ж.Сүххуяг,HD production,101,1ц 41м
204,Мөрөөдлийн зүгт,Кино,,2009,Б,1ц 34м,3,Б.Туул,,Б.Туул Б.Мөнхболд Д.Очсүрэн Ц.Биндэр Б.Тэлмэн,DX production,94,1ц 34м
205,Найз,Кино,,2012,13+,1ц 30м,7.1,Б.Болдбаатар,,Б.Болдбаатар А.Баттүшиг Б.Баттогтох Д.Хосбаяр С.Батзориг Т.Бархүү Б.Хулан Н.Ялалт,Лайн экшн продакшн,90,1ц 30м
206,Амьдрал төсөл,Кино,,2011,ЭЭХ,1ц 30м,7,П.Дэлгэрбаяр,П.Дэлгэрбаяр,П.Дэлгэрбаяр Д.Лхагва Д.Пүрэвсүрэн Г.Амгаланбаатар Б.Гэрэлчулуун Л.Хүлгэн А.Дашпэлжээ Б.Тунгалаг,Л Ви Эй интертайнмент,90,1ц 30м
207,Орхидос,Кино,,2009,13+,,6.7,Б.Ганболд,,Г.Отгонцэцэг А.Орхонтуул С.Болд-Эрдэнэ Б.Ганболд,Хамба фильм Хаанаас үзэх вэ?,87.17165669,1ц 27м
208,Орхидос 2,Кино,,2010,13+,1ц 39м,6.3,Б.Ганболд,Б.Ганболд,Г.Отгонцэцэг А.Орхонтуул С.Болд-Эрдэнэ Б.Ганболд Г.Эрхэмбаяр,Хамба фильм Хаанаас үзэх вэ?,99,1ц 39м
209,Валентины захидал,Кино,,2012,ЭЭХ,0ц 7м,3,Д.Баярсайхан,Ж.Оргил,Д.Баярсайхан Э.Мөнхтөр Б.Батзаяа П.Шүүдэрцэцэг Х.Бадамгэрэл Ж.Оргил Б.Бадамцэцэг Э.Ууганбаяр Ц.Төмөрбаатар Б.Навчаа Н.Бадрал Б.Баатархүү Р.Адъяа Х.Манлайбаатар,ТАКТ ХХК,7,0ц 7м
210,Үл таних эмэгтэй,Кино,,2011,13+,1ц 48м,6.9,Н.Наранбаатар,,Н.Наранбаатар О.Долгор Ч.Алтан-Өлзий С.Болд-Эрдэнэ,Н.Наранбаатар,108,1ц 48м
211,Учиртай гурав,Кино,,2011,ЭЭХ,,6.7,Д.Золбаяр,О.Эрдэнэ,Д.Золбаяр З.Онон О.Амгаланбаатар Б.Сайнаа О.Эрдэнэ Д.Гүрсэд Б.Даваажав Д.Баттөмөр,Монгол контент,87.17165669,1ц 27м
212,Нар сарны зааг,Кино,,2012,13+,1ц 53м,6.7,О.Бат-Өлзий,,,Жийж продакшн,113,1ц 53м
